epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,952.367,1.14546,3.2093,1.55447,0.00316,0.92857,0.0875,0.04164,1.6904,4.50302,2.75972,0.00123214,0.000410714,0.00123214,0.000410714,0.00123214,0.000410714,0.00123214,0.000410714
2,1627.59,0.68658,2.30557,1.24667,0.00364,1,0.0463,0.01561,1.56392,4.57793,2.71105,0.002433,0.000810999,0.002433,0.000810999,0.002433,0.000810999,0.002433,0.000810999
3,2259.54,0.57913,1.2193,1.19278,0.7898,0.125,0.09283,0.04889,1.41807,4.45246,2.50048,0.00358435,0.00119478,0.00358435,0.00119478,0.00358435,0.00119478,0.00358435,0.00119478
4,2830.34,0.51876,0.98351,1.13191,0.98792,0.125,0.30503,0.1892,1.35515,4.19834,2.20743,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,3397.9,0.47538,0.90314,1.10327,0.53541,0.25,0.26484,0.12022,1.46087,4.15939,2.28962,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,4027.33,0.48564,0.87683,1.10018,0.31802,0.14213,0.20018,0.09758,1.48406,3.93347,2.26703,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,4703.06,0.45233,0.79823,1.0842,0.18705,0.26556,0.17472,0.08963,1.55982,3.81945,2.3293,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,5290.88,0.44937,0.75098,1.07651,0.09311,0.33929,0.17181,0.06946,1.75445,3.81771,2.70168,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,5855.66,0.44228,0.71078,1.07423,0.29169,0.48214,0.28409,0.17832,1.67556,3.64569,2.47365,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,6407.58,0.42904,0.70113,1.06721,0.32519,0.67857,0.40513,0.22622,1.50577,3.72406,2.2714,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
