epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.363,0.79427,1.84432,1.30986,0.82059,0.13333,0.27043,0.1314,1.68707,4.1283,2.71109,0.000365329,0.000365329,0.000365329
2,767.041,0.60932,1.00673,1.17968,0.11131,0.23128,0.15507,0.09103,1.45038,3.57935,2.57251,0.000721096,0.000721096,0.000721096
3,1150.07,0.63542,0.90452,1.18555,0.68413,0.24,0.27015,0.07752,1.98513,4.63943,3.26348,0.0010622,0.0010622,0.0010622
4,1540.96,0.60319,0.79843,1.16416,0.20768,0.28,0.21244,0.12957,1.46437,3.72738,2.78372,0.00104501,0.00104501,0.00104501
5,1935.62,0.58651,0.76033,1.16857,0.24849,0.6,0.42854,0.19055,1.57496,2.81984,2.41986,0.00102301,0.00102301,0.00102301
6,2317.33,0.57972,0.6922,1.14793,0.27255,0.42381,0.36563,0.19379,1.4896,2.50482,2.57405,0.00100101,0.00100101,0.00100101
7,2693.14,0.55187,0.64534,1.14166,0.33286,0.55771,0.30362,0.14373,1.8409,2.87486,2.58965,0.000979013,0.000979013,0.000979013
8,3072.5,0.53031,0.61796,1.12714,0.18699,0.25993,0.21226,0.13994,1.53875,2.78769,2.86068,0.000957015,0.000957015,0.000957015
9,3439.41,0.52646,0.58182,1.12719,0.16561,0.37937,0.31007,0.16773,1.76337,1.80807,2.75317,0.000935018,0.000935018,0.000935018
10,3797.22,0.52097,0.58068,1.11415,0.33694,0.50317,0.43071,0.25546,1.35248,1.95688,2.19386,0.00091302,0.00091302,0.00091302
11,4156.35,0.49647,0.53384,1.09351,0.24822,0.58889,0.33825,0.18242,1.7881,2.29875,2.57348,0.000891022,0.000891022,0.000891022
12,4517.12,0.48806,0.51888,1.09709,0.39296,0.60476,0.34535,0.19428,1.805,1.83834,2.63773,0.000869024,0.000869024,0.000869024
13,4882.65,0.49001,0.51198,1.09317,0.22494,0.47498,0.35703,0.21641,1.48216,1.85575,2.58137,0.000847026,0.000847026,0.000847026
14,6732.64,0.49085,0.50236,1.10696,0.28884,0.5873,0.40321,0.21346,1.82958,1.47121,3.10587,0.000825029,0.000825029,0.000825029
15,7080.95,0.48062,0.49963,1.09469,0.26011,0.65873,0.43865,0.24594,1.54548,1.58872,2.4455,0.000803031,0.000803031,0.000803031
16,7429.26,0.46899,0.47265,1.09165,0.28205,0.45517,0.38024,0.22214,1.51852,2.36572,2.9287,0.000781033,0.000781033,0.000781033
17,8500.59,0.45018,0.45235,1.0782,0.36275,0.60952,0.47257,0.12557,2.30594,2.04303,2.93603,0.000759035,0.000759035,0.000759035
18,8854.76,0.44731,0.43972,1.07287,0.32724,0.39683,0.38793,0.16635,1.94206,1.69841,3.09695,0.000737037,0.000737037,0.000737037
19,9204.02,0.43721,0.44758,1.07246,0.32501,0.38794,0.37824,0.24927,1.68695,1.68931,2.72261,0.00071504,0.00071504,0.00071504
20,9553.62,0.4452,0.44318,1.06985,0.49984,0.49625,0.41523,0.2583,1.64326,1.46544,2.69945,0.000693042,0.000693042,0.000693042
21,9936.92,0.43993,0.4322,1.05947,0.33381,0.5369,0.40254,0.22368,1.62126,1.58846,2.57791,0.000671044,0.000671044,0.000671044
22,10318.4,0.42435,0.41553,1.05618,0.30814,0.51429,0.36974,0.23549,1.37598,1.55262,2.32766,0.000649046,0.000649046,0.000649046
23,10703,0.42359,0.40765,1.05551,0.43127,0.46984,0.42691,0.19901,1.75624,1.7979,2.60973,0.000627048,0.000627048,0.000627048
24,11077.6,0.42574,0.41973,1.05498,0.51125,0.45716,0.48497,0.26723,1.47158,1.38153,2.36005,0.000605051,0.000605051,0.000605051
25,11465.9,0.41679,0.40438,1.04821,0.35002,0.67619,0.47096,0.2572,1.73661,1.49839,2.72632,0.000583053,0.000583053,0.000583053
26,11851.3,0.40196,0.38335,1.04105,0.50118,0.52035,0.54896,0.30302,1.41791,1.27278,2.32743,0.000561055,0.000561055,0.000561055
27,12216.4,0.41154,0.39205,1.04912,0.54126,0.57717,0.50049,0.25885,1.51036,1.44544,2.50536,0.000539057,0.000539057,0.000539057
28,12599.6,0.40041,0.38352,1.03755,0.55725,0.57654,0.525,0.23331,1.6691,1.21212,2.54932,0.000517059,0.000517059,0.000517059
29,12998.3,0.39266,0.37541,1.04192,0.31547,0.42381,0.38897,0.21885,1.49838,1.6271,2.50616,0.000495062,0.000495062,0.000495062
30,13363.7,0.38248,0.35735,1.03008,0.39456,0.46683,0.48574,0.29541,1.54108,1.47951,2.50753,0.000473064,0.000473064,0.000473064
31,13745.1,0.38036,0.37084,1.02006,0.38206,0.64403,0.46806,0.2347,1.52478,1.43038,2.49801,0.000451066,0.000451066,0.000451066
32,14135.5,0.36615,0.34971,1.01392,0.62068,0.51905,0.47655,0.22277,1.62148,1.62896,2.65904,0.000429068,0.000429068,0.000429068
33,14538.2,0.36648,0.36254,1.01898,0.54898,0.50914,0.50104,0.29487,1.42258,1.17399,2.50453,0.00040707,0.00040707,0.00040707
34,14945.1,0.37288,0.36024,1.02449,0.48574,0.51905,0.50409,0.26293,1.64527,1.10111,2.86691,0.000385073,0.000385073,0.000385073
