epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1296.14,1.1303,3.35113,1.50773,0.00466,0.89928,0.08099,0.04819,1.13891,4.17342,1.54113,0.00109931,0.000366435,0.00109931,0.000366435,0.00109931,0.000366435,0.00109931,0.000366435
2,2392.22,0.80268,2.58168,1.2654,0.51149,0.11991,0.09288,0.05804,1.21127,3.91569,1.61802,0.00216654,0.00072218,0.00216654,0.00072218,0.00216654,0.00072218,0.00216654,0.00072218
3,3413.26,0.70948,1.54419,1.20303,0.54945,0.17888,0.12091,0.07444,1.33457,3.5897,1.68549,0.00318978,0.00106326,0.00318978,0.00106326,0.00318978,0.00106326,0.00318978,0.00106326
4,4365.75,0.65864,1.29484,1.17181,0.54458,0.24863,0.17513,0.09863,1.37719,3.2042,1.71315,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
5,5333.25,0.62629,1.17029,1.14588,0.57715,0.32713,0.18499,0.10932,1.37716,3.03857,1.73764,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
6,6384.24,0.59081,1.04862,1.11729,0.51616,0.27994,0.29577,0.13988,1.39761,2.99406,1.76782,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
7,7450.12,0.59499,1.00663,1.12127,0.26377,0.41216,0.30081,0.15295,1.40785,2.98342,1.73602,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
8,8605.92,0.58405,0.96038,1.11316,0.34715,0.38676,0.32211,0.17145,1.33496,3.03473,1.66271,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
9,9635.61,0.56958,0.91233,1.09864,0.29422,0.38687,0.35203,0.18193,1.35574,2.82079,1.72136,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
10,10561.7,0.53534,0.87893,1.08003,0.26824,0.48496,0.3171,0.18404,1.33935,2.81701,1.67072,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
11,11465.8,0.54682,0.87493,1.08908,0.29123,0.37532,0.3469,0.1799,1.26084,2.74776,1.58172,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
12,12377.8,0.52698,0.8203,1.07461,0.41619,0.38066,0.35177,0.18931,1.356,2.71675,1.72132,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
13,13297.4,0.53134,0.81523,1.06824,0.54699,0.32583,0.44137,0.22484,1.28683,2.51774,1.64681,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
