epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.906,1.86525,3.88331,2.26455,0.0028,0.83333,0.55214,0.13413,2.60217,5.2532,4.00984,0.0002,0.0002,0.0002
2,63.2441,1.76254,3.58067,2.14832,0.00366,1,0.51004,0.2506,2.33778,5.10036,3.50835,0.000392081,0.000392081,0.000392081
3,92.5966,1.6312,3.41174,2.03716,0.0038,1,0.70479,0.13441,2.09955,4.80191,2.79863,0.000563125,0.000563125,0.000563125
4,122.093,1.67823,3.18271,2.03627,0.00385,1,0.32553,0.10628,1.99903,4.57097,2.66611,0.000713131,0.000713131,0.000713131
5,151.753,1.65252,3.21715,2.05308,0.00384,1,0.13041,0.05262,2.02318,4.52124,2.74333,0.0008421,0.0008421,0.0008421
6,181.336,1.55305,2.92899,1.94862,0.75019,0.16667,0.12099,0.04193,2.17662,5.05015,2.91849,0.000940625,0.000940625,0.000940625
7,210.351,1.55174,2.9372,1.96493,0.73303,0.16667,0.11884,0.04933,2.46114,4.47779,3.189,0.00087875,0.00087875,0.00087875
8,239.87,1.52555,2.92155,1.90405,0.81291,0.16667,0.5495,0.19195,2.35357,4.66279,3.13091,0.000816875,0.000816875,0.000816875
9,269.076,1.5238,2.62651,1.91868,0.00542,1,0.14663,0.02324,2.45598,5.87322,3.09835,0.000755,0.000755,0.000755
10,299.257,1.35171,2.53435,1.76238,0.00472,1,0.05988,0.01763,1.99253,4.86486,2.66596,0.000693125,0.000693125,0.000693125
11,328.559,1.74946,3.58623,2.35078,0.96898,0.16667,0.35997,0.13514,1.78516,3.93412,2.5595,0.00063125,0.00063125,0.00063125
12,357.803,1.57856,3.26412,2.15769,0.77393,0.33333,0.22229,0.06518,2.0097,5.11686,2.94551,0.000569375,0.000569375,0.000569375
